"AirFlow, KPPH","Fuel Flow, Pct","Stack Oxygen, %","Steam Flow, KPPH","Economizer Inlet Temp, F","Stack Pressure, in H2O","Windbox Pressure, in. H2O","Feedwater Flow, KPPH","Ambient Temp, F"
229.78,11.18,3,158.4,633.5,2.6,3.1,183,84.82
220.35,10.68,3,153,638.1,2.4,2.8,177.3,85.36
236.98,11.47,3,163.9,641.2,2.6,3.4,186.2,86.36
265.62,12.83,3,184,653.3,3.3,4.3,208.2,86.73
266.83,12.8,3,185.7,661.5,3.4,4.3,209.2,86.36
266.12,12.85,3,186.1,661.9,3.4,4.4,206.9,86.27
283.89,13.65,3,201.8,667,5.3,5,205.3,86.18
292.99,13.96,3,208.1,673.8,5.4,5.3,217.6,86.45
282.03,13.41,2.9,201.4,672.7,5.1,4.9,204.4,86.18
319.59,15.32,2.9,225.2,678.1,6.4,6.4,231.4,86.55
359.42,17.35,3,255.6,699.8,7.9,8.3,262.7,86.91
384.62,18.32,3.2,272.4,717.1,9,9.6,280,86.55
390.51,18.94,2.8,281.8,722.6,9.3,9.9,289.5,87
409.21,19.69,3.1,292.9,731.6,10,10.9,300.4,86.09
408.12,19.41,3.2,289.9,734.3,10.1,10.8,300.3,86.64
396.03,19.21,2.7,287.1,730.5,9.4,10.2,295.7,86.91
406.07,19.73,2.8,292.4,731.8,10.1,10.7,297.2,86.27
413,19.41,3.4,291.7,736.3,10.4,11.1,300.2,86.27
386.23,18.53,2.9,278.5,729.3,9,9.6,288.8,86.27
388.25,18.69,2.9,279.4,724.4,9,9.7,286.8,86.27
388.38,18.43,3.2,276.5,724.3,9.1,9.7,281.9,86.36
385.32,18.51,3,276.6,722,8.9,9.5,283.2,85.45
387.24,18.4,3.1,276.4,723.5,8.8,9.6,286.4,85.45
382.5,18.4,2.9,274.8,721.1,8.8,9.4,280.1,86.27
376.52,17.87,3,268.9,720.7,8.9,9,280.1,86
385.38,18.44,2.9,274.6,719.6,9.1,9.6,285.2,86.64
379.65,17.97,3,270.4,721.8,9.1,9.2,279.7,86.55
380.55,18.16,3,271.6,718.2,8.9,9.3,281,86.18
375.28,17.93,3,268.5,718.3,8.4,9,278.9,86.64
372.79,17.86,2.9,267.4,715.6,8.3,8.9,278.1,85.18
378,17.94,3.1,269.5,718,8.5,9.1,275.7,85.73
371.47,17.72,2.9,266.2,715.7,8.2,8.8,271.1,86.09
368.27,17.52,3,262.9,714.3,8.1,8.6,269.9,85.09
362.54,17.34,3,259.2,711.4,7.9,8.4,273.3,86.64
357.84,17.05,3,255.4,709.4,7.8,8.1,256.7,86.09
346.95,16.55,3,248.2,704.9,7.3,7.6,246.6,85.91
345.15,16.53,3,247.1,702.2,7.2,7.5,260.1,84
351.08,16.81,2.9,249.4,702.2,7.3,7.8,264.6,83.73
354.59,16.97,3,252.1,705.8,7.6,8,253.7,83.45
331.92,15.88,3,236.5,694.3,6.6,6.9,245.1,89.82
319.83,15.33,3,228.9,691.4,6.2,6.4,234.5,87.55
331.06,15.94,3.1,236.4,692.1,6.8,6.9,248,87.55
324.92,15.64,3,233.7,693.2,6.5,6.6,242.8,87.91
328.6,15.86,3,235.5,692.7,6.5,6.8,244.2,91.18
313.74,15.09,3,225.4,690.3,5.9,6.1,236,93.18
323.69,15.6,3,231.3,688.4,6.4,6.5,239.4,94.18
314.91,15.16,2.9,225.5,688.7,5.9,6.2,237.6,97.64
309.73,14.98,3,222,685.1,5.8,5.9,232,98.27
315.12,15.19,3.1,225,685.6,6,6.1,234.5,97.45
321.8,15.63,2.9,229.8,687.2,6.1,6.4,238.8,97.18
320.06,15.5,3,228.9,690,6.1,6.3,239.4,93.91
309.17,14.95,2.9,221.2,684.7,5.7,5.8,229.5,93.09
323.4,15.66,3,231.1,686.6,6.4,6.5,239.5,91.27
348.97,16.94,2.9,249.1,696.9,7.2,7.7,266.8,91.18
356.41,17.33,3,254.2,704.5,7.5,8,255.2,92
360.39,17.49,2.9,259.2,708.6,7.7,8.2,257.5,91.82
332.87,16.09,2.9,241.4,701.6,6.6,6.9,255.9,92.36
343.55,16.63,3,246.8,699.2,7,7.4,247.9,93
349.15,16.93,3,251.2,702.7,7.2,7.7,262.8,93.45
337.69,16.46,3,242.8,700.7,6.8,7.1,250.1,93
327.02,15.86,3,235.2,695.8,6.3,6.6,244.7,93.27
329.54,15.94,3,237,694.8,6.3,6.7,245.3,92.73
321.88,15.58,3,231.2,692.2,6.1,6.4,238.8,92.27
326.68,15.93,3.1,234.7,692.1,6.3,6.6,258,93
